StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2_1,Q19_1,Q20_1,Q21,Q4,random
2026-03-11 18:04:45,2026-03-11 18:05:08,Survey Preview,,100,22,True,2026-03-11 18:05:08,R_6tMzrMDtJIunazx,35.3288,-118.9748,preview,EN,Yes,,,,,,2.0
2026-03-16 17:09:27,2026-03-16 17:10:12,IP Address,136.168.93.87,100,44,True,2026-03-16 17:10:12,R_6FT9SwEumVWfibn,35.3407,-119.0596,anonymous,EN,,,,,,,1.0
2026-03-16 17:16:06,2026-03-16 17:17:46,IP Address,136.168.93.87,100,100,True,2026-03-16 17:17:47,R_7r0OZWUHhBCm2Mm,35.3407,-119.0596,anonymous,EN,,,,,,,1.0
2026-03-16 17:28:23,2026-03-16 17:31:09,IP Address,136.168.93.87,100,165,True,2026-03-16 17:31:09,R_66K7tmLVI2vAjlv,35.3407,-119.0596,anonymous,EN,,,,,,,2.0
2026-03-16 17:31:19,2026-03-16 17:36:00,IP Address,136.168.93.87,100,280,True,2026-03-16 17:36:00,R_5MDmkmjK7azmwwk,35.3407,-119.0596,anonymous,EN,,,,,,,2.0
2026-03-16 17:36:13,2026-03-16 17:36:24,IP Address,136.168.93.87,100,11,True,2026-03-16 17:36:25,R_7V7Ws5yKAkCeIil,35.3407,-119.0596,anonymous,EN,,,,,,,2.0
2026-03-16 17:50:25,2026-03-16 17:51:13,IP Address,136.168.214.211,100,47,True,2026-03-16 17:51:13,R_7C4pbaM4DHjpoPB,35.3044,-119.1031,anonymous,EN,Yes,Multiple Times Per Day,Very Often,Neutral,No,None influence me,1.0
2026-03-16 17:55:57,2026-03-16 17:59:34,IP Address,136.168.214.215,100,216,True,2026-03-16 17:59:34,R_5mdXLL891NvPs45,35.3044,-119.1031,anonymous,EN,Yes,Rarely,Rarely,Somewhat Untrustworthy,Yes,Retargeted ads (ads based on previous searches),2.0
2026-03-16 17:38:23,2026-03-16 17:38:32,IP Address,136.168.214.229,14,8,False,2026-03-23 17:38:33,R_69b4pNbIi0EIW9a,35.3044,-119.1031,anonymous,EN,Yes,,,,,,
2026-03-16 17:55:09,2026-03-16 17:55:18,IP Address,136.168.214.227,14,9,False,2026-03-23 17:55:20,R_7wzQK9cKjJLpUoa,35.3044,-119.1031,anonymous,EN,,,,,,,
2026-03-25 17:54:45,2026-03-25 17:56:19,IP Address,136.168.214.250,100,93,True,2026-03-25 17:56:19,R_3jca8JDn0uwFMRx,35.3044,-119.1031,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Very Untrustworthy,No,Retargeted ads (ads based on previous searches),2.0
2026-03-25 17:58:44,2026-03-25 17:59:53,IP Address,136.168.214.215,100,69,True,2026-03-25 17:59:53,R_54lBRSQsLuVqA9j,35.3044,-119.1031,anonymous,EN,Yes,Rarely,Rarely,Somewhat Untrustworthy,Yes,Video ads,2.0
2026-03-16 17:36:53,2026-03-25 17:55:48,IP Address,136.168.48.147,14,778735,False,2026-04-01 17:55:51,R_7KwESeZyTAYeC6I,35.3407,-119.0596,anonymous,EN,,,,,,,
2026-03-23 17:45:24,2026-03-25 18:03:03,IP Address,136.168.214.207,14,173858,False,2026-04-01 18:03:03,R_7dtzFAeFb7e0mnL,35.3044,-119.1031,anonymous,EN,Yes,,,,,,
2026-04-08 17:22:36,2026-04-08 17:24:25,IP Address,136.168.214.201,100,109,True,2026-04-08 17:24:25,R_67UUU89dcorNfBr,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Neutral,Yes,Video ads,2.0
2026-04-08 17:24:07,2026-04-08 17:25:34,IP Address,136.168.83.240,100,87,True,2026-04-08 17:25:35,R_5QZ1PiVCsi3GzDd,35.2976,-119.0484,anonymous,EN,Yes,Multiple Times Per Day,Rarely,Neutral,No,Influencer promotions,1.0
2026-04-08 17:24:47,2026-04-08 17:25:41,IP Address,136.168.214.218,100,54,True,2026-04-08 17:25:42,R_3Kon22NxO3UnP3w,35.3878,-118.936,anonymous,EN,Yes,Few Times Per Week,Never,Very Untrustworthy,No,None influence me,1.0
2026-04-08 17:25:31,2026-04-08 17:26:00,IP Address,136.168.214.205,100,29,True,2026-04-08 17:26:00,R_3CCF0NUyD3Zo0Ta,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Neutral,No,Story ads,1.0
2026-04-08 17:25:25,2026-04-08 17:26:14,IP Address,136.168.214.236,100,48,True,2026-04-08 17:26:15,R_7lWg9IPAeHuZnVv,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Somewhat Untrustworthy,No,Influencer promotions,1.0
2026-04-08 17:29:02,2026-04-08 17:29:52,IP Address,136.168.92.117,100,50,True,2026-04-08 17:29:52,R_7Egk9xZqYxWsipw,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Very Often,Somewhat Untrustworthy,Yes,Retargeted ads (ads based on previous searches),1.0
2026-04-08 17:28:05,2026-04-08 17:30:24,IP Address,136.168.214.232,100,138,True,2026-04-08 17:30:24,R_5EUmOAeRfRZ91e1,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Somewhat Trustworthy,Yes,Retargeted ads (ads based on previous searches),2.0
2026-04-08 17:29:48,2026-04-08 17:31:01,IP Address,136.168.214.237,100,72,True,2026-04-08 17:31:02,R_59Oon2js0X6sDZf,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Rarely,Neutral,Yes,Video ads,2.0
2026-04-08 17:32:30,2026-04-08 17:34:10,IP Address,136.168.214.241,100,99,True,2026-04-08 17:34:10,R_3NTV7IlkPFFvy7g,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Very Often,Very Trustworthy,No,Sponsored posts from brands,1.0
2026-04-08 17:34:02,2026-04-08 17:34:59,IP Address,136.168.89.82,100,57,True,2026-04-08 17:35:00,R_6jvKle79M8Kc3Vj,35.2976,-119.0484,anonymous,EN,Yes,Multiple Times Per Day,Never,Somewhat Untrustworthy,No,Video ads,2.0
2026-04-08 17:32:41,2026-04-08 17:37:49,IP Address,136.168.214.222,100,307,True,2026-04-08 17:37:49,R_5kneXGwKuQLH185,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Never,Very Untrustworthy,Yes,Influencer promotions,1.0
2026-04-08 17:37:02,2026-04-08 17:38:44,IP Address,136.168.214.221,100,102,True,2026-04-08 17:38:45,R_5hQH7LDA4u1un7J,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Never,Very Untrustworthy,Yes,Influencer promotions,1.0
2026-04-08 17:39:18,2026-04-08 17:39:59,IP Address,136.168.56.3,100,40,True,2026-04-08 17:39:59,R_5hWkWdTDwDgaxBH,35.2976,-119.0484,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Somewhat Trustworthy,Yes,Influencer promotions,1.0
2026-04-08 17:44:12,2026-04-08 17:44:33,IP Address,136.168.214.212,100,20,True,2026-04-08 17:44:33,R_6nDjO9NcPWG221X,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Very Often,Very Trustworthy,No,Influencer promotions,1.0
2026-04-08 17:48:47,2026-04-08 17:49:50,IP Address,136.168.214.231,100,62,True,2026-04-08 17:49:50,R_6VeI56zE4h9Nx5X,35.3878,-118.936,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Neutral,Yes,Influencer promotions,1.0
2026-04-09 19:55:31,2026-04-09 19:58:28,IP Address,97.71.34.198,100,177,True,2026-04-09 19:58:29,R_5j9C0uru3PLsbD0,35.3965,-119.1268,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Somewhat Untrustworthy,Yes,Influencer promotions,1.0
2026-04-11 15:21:18,2026-04-11 15:22:17,IP Address,136.168.48.154,100,58,True,2026-04-11 15:22:18,R_1gNt7fTYH0ABBDf,35.3407,-119.0596,anonymous,EN,Yes,Multiple Times Per Day,Rarely,Neutral,Yes,Video ads,2.0
2026-04-13 15:09:50,2026-04-13 15:10:41,IP Address,174.134.236.7,100,50,True,2026-04-13 15:10:41,R_7mxcF12pNvFStdT,35.3044,-119.1031,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Neutral,Yes,Video ads,1.0
2026-04-13 15:54:52,2026-04-13 15:55:25,IP Address,136.168.48.154,100,32,True,2026-04-13 15:55:26,R_58Gt3OVejs7wpfL,35.3407,-119.0596,anonymous,EN,Yes,Multiple Times Per Day,Sometimes,Somewhat Trustworthy,Yes,Influencer promotions,1.0
2026-04-15 15:50:23,2026-04-15 15:51:07,IP Address,136.168.59.172,100,44,True,2026-04-15 15:51:07,R_6Pe4SHmKtT7fo2s,35.3044,-119.1031,anonymous,EN,Yes,Multiple Times Per Day,Very Often,Somewhat Trustworthy,No,None influence me,2.0
